UNITID,Pop_Code,Total_Pop,Fully_online,Partially_Online,No_online,Population,Year
108065,1,8,,,8,All Students,2024
108065,2,8,,,8,Undergrad,2024
108065,3,8,,,8,,2024
108092,1,5496,1012,2464,2020,All Students,2024
108092,2,5459,975,2464,2020,Undergrad,2024
108092,3,4091,862,2330,899,,2024
108092,11,1368,113,134,1121,,2024
108092,12,37,37,0,0,Graduate,2024
108232,1,5498,2948,1943,607,All Students,2024
108232,2,3644,1892,1424,328,Undergrad,2024
108232,3,3587,1852,1423,312,,2024
108232,11,57,40,1,16,,2024
108232,12,1854,1056,519,279,Graduate,2024
108269,1,114,0,114,0,All Students,2024
108269,12,114,0,114,0,Graduate,2024
108667,1,6141,4152,914,1075,All Students,2024
108667,2,6141,4152,914,1075,Undergrad,2024
108667,3,4487,3123,747,617,,2024
108667,11,1654,1029,167,458,,2024
108807,1,11463,1432,2605,7426,All Students,2024
108807,2,11463,1432,2605,7426,Undergrad,2024
108807,3,8052,1144,2473,4435,,2024
108807,11,3411,288,132,2991,,2024
108852,1,112,,,112,All Students,2024
108852,2,112,,,112,Undergrad,2024
